t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,$6.59 \times 10^{1}$,$6.55 \times 10^{1}$,$1.88 \times 10^{2}$,$6.68 \times 10^{1}$,65.03,65.24
,2,$1.01 \times 10^{1}$,$1.00 \times 10^{1}$,$3.72 \times 10^{1}$,$1.49 \times 10^{2}$,72.84,73.01
,3,2.14,2.13,$1.30 \times 10^{1}$,$2.51 \times 10^{2}$,83.46,83.59
,4,$5.30 \times 10^{-1}$,$5.25 \times 10^{-1}$,5.67,$4.05 \times 10^{2}$,90.66,90.74
,5,$1.44 \times 10^{-1}$,$1.39 \times 10^{-1}$,2.80,$5.63 \times 10^{2}$,94.85,95.03
,6,$5.35 \times 10^{-2}$,$3.84 \times 10^{-2}$,1.49,$7.06 \times 10^{2}$,96.40,97.42
,7,$1.67 \times 10^{-2}$,$1.09 \times 10^{-2}$,$8.29 \times 10^{-1}$,$5.10 \times 10^{2}$,97.99,98.69
,8,$9.88 \times 10^{-3}$,$3.15 \times 10^{-3}$,$4.79 \times 10^{-1}$,$5.28 \times 10^{2}$,97.94,99.34
,9,$7.52 \times 10^{-3}$,$9.27 \times 10^{-4}$,$2.83 \times 10^{-1}$,$8.56 \times 10^{2}$,97.34,99.67
,10,$5.45 \times 10^{-2}$,$2.78 \times 10^{-4}$,$1.70 \times 10^{-1}$,$9.80 \times 10^{2}$,68.00,99.84
0.0125,1,$1.03 \times 10^{2}$,$1.02 \times 10^{2}$,$2.94 \times 10^{2}$,$7.17 \times 10^{1}$,65.03,65.24
,2,7.19,7.14,$4.14 \times 10^{1}$,$1.60 \times 10^{2}$,82.62,82.76
,3,1.02,1.01,$1.23 \times 10^{1}$,$2.74 \times 10^{2}$,91.71,91.79
,4,$1.67 \times 10^{-1}$,$1.63 \times 10^{-1}$,4.77,$3.82 \times 10^{2}$,96.49,96.58
,5,$3.57 \times 10^{-2}$,$2.83 \times 10^{-2}$,2.11,$5.64 \times 10^{2}$,98.31,98.66
,6,$1.42 \times 10^{-2}$,$5.14 \times 10^{-3}$,1.01,$7.16 \times 10^{2}$,98.60,99.49
,7,$1.30 \times 10^{-2}$,$9.71 \times 10^{-4}$,$5.07 \times 10^{-1}$,$5.73 \times 10^{2}$,97.43,99.81
,8,$2.17 \times 10^{-2}$,$1.90 \times 10^{-4}$,$2.63 \times 10^{-1}$,$5.11 \times 10^{2}$,91.74,99.93
,9,$2.41 \times 10^{-2}$,$3.87 \times 10^{-5}$,$1.39 \times 10^{-1}$,$8.33 \times 10^{2}$,82.73,99.97
,10,$7.59 \times 10^{-3}$,$8.17 \times 10^{-6}$,$7.51 \times 10^{-2}$,$1.01 \times 10^{3}$,89.90,99.99
0.015,1,$1.48 \times 10^{2}$,$1.47 \times 10^{2}$,$4.24 \times 10^{2}$,$6.80 \times 10^{1}$,65.02,65.24
,2,5.56,5.50,$1.06 \times 10^{2}$,$1.60 \times 10^{2}$,94.75,94.81
,3,$3.93 \times 10^{-1}$,$3.87 \times 10^{-1}$,$2.65 \times 10^{1}$,$2.61 \times 10^{2}$,98.52,98.54
,4,$4.00 \times 10^{-2}$,$3.38 \times 10^{-2}$,6.62,$3.99 \times 10^{2}$,99.40,99.49
,5,$1.78 \times 10^{-2}$,$3.42 \times 10^{-3}$,1.66,$5.89 \times 10^{2}$,98.93,99.79
,6,$7.34 \times 10^{-3}$,$3.85 \times 10^{-4}$,$6.39 \times 10^{-1}$,$6.81 \times 10^{2}$,98.85,99.94
,7,$7.22 \times 10^{-3}$,$4.79 \times 10^{-5}$,$2.86 \times 10^{-1}$,$5.80 \times 10^{2}$,97.48,99.98
,8,$3.72 \times 10^{-2}$,$6.49 \times 10^{-6}$,$1.32 \times 10^{-1}$,$4.92 \times 10^{2}$,71.77,$99.99^{(\star)}$
,9,$2.11 \times 10^{-2}$,$9.56 \times 10^{-7}$,$6.19 \times 10^{-2}$,$8.96 \times 10^{2}$,65.89,$99.99^{(\star)}$
,10,$1.59 \times 10^{-2}$,$1.52 \times 10^{-7}$,$2.95 \times 10^{-2}$,$8.94 \times 10^{2}$,45.95,$99.99^{(\star)}$
0.0167,1,$1.83 \times 10^{2}$,$1.82 \times 10^{2}$,$5.23 \times 10^{2}$,$7.51 \times 10^{1}$,65.01,65.24
,2,8.14,8.03,$2.33 \times 10^{2}$,$1.61 \times 10^{2}$,96.50,96.55
,3,$6.32 \times 10^{-1}$,$6.19 \times 10^{-1}$,$1.03 \times 10^{2}$,$2.72 \times 10^{2}$,99.39,99.40
,4,$6.29 \times 10^{-2}$,$5.17 \times 10^{-2}$,$4.59 \times 10^{1}$,$4.03 \times 10^{2}$,99.86,99.89
,5,$1.27 \times 10^{-2}$,$4.70 \times 10^{-3}$,$2.04 \times 10^{1}$,$5.64 \times 10^{2}$,99.94,99.98
,6,$8.67 \times 10^{-3}$,$4.58 \times 10^{-4}$,9.08,$7.09 \times 10^{2}$,99.90,$99.99^{(\star)}$
,7,$3.06 \times 10^{-2}$,$4.77 \times 10^{-5}$,4.03,$5.34 \times 10^{2}$,99.24,$99.99^{(\star)}$
,8,$8.38 \times 10^{-3}$,$5.38 \times 10^{-6}$,1.79,$5.26 \times 10^{2}$,99.53,$99.99^{(\star)}$
,9,$1.05 \times 10^{-2}$,$6.71 \times 10^{-7}$,$7.97 \times 10^{-1}$,$9.83 \times 10^{2}$,98.68,$99.99^{(\star)}$
,10,$1.15 \times 10^{-2}$,$9.31 \times 10^{-8}$,$3.54 \times 10^{-1}$,$9.74 \times 10^{2}$,96.76,$99.99^{(\star)}$
0.0175,1,$2.02 \times 10^{2}$,$2.01 \times 10^{2}$,$5.77 \times 10^{2}$,$7.33 \times 10^{1}$,65.02,65.24
,2,$1.14 \times 10^{1}$,$1.13 \times 10^{1}$,$3.25 \times 10^{2}$,$1.53 \times 10^{2}$,96.49,96.53
,3,1.30,1.27,$1.83 \times 10^{2}$,$2.58 \times 10^{2}$,99.29,99.30
,4,$1.69 \times 10^{-1}$,$1.61 \times 10^{-1}$,$4.59 \times 10^{1}$,$4.30 \times 10^{2}$,99.63,99.65
,5,$3.08 \times 10^{-2}$,$2.17 \times 10^{-2}$,$5.78 \times 10^{1}$,$5.88 \times 10^{2}$,99.95,99.96
,6,$1.55 \times 10^{-2}$,$3.04 \times 10^{-3}$,$3.25 \times 10^{1}$,$1.13 \times 10^{3}$,99.95,$99.99^{(\star)}$
,7,$1.00 \times 10^{-2}$,$4.47 \times 10^{-4}$,$1.83 \times 10^{1}$,$5.32 \times 10^{2}$,99.95,$99.99^{(\star)}$
,8,$9.63 \times 10^{-3}$,$6.87 \times 10^{-5}$,$1.03 \times 10^{1}$,$5.23 \times 10^{2}$,99.91,$99.99^{(\star)}$
,9,$3.35 \times 10^{-2}$,$1.13 \times 10^{-5}$,5.78,$9.84 \times 10^{2}$,99.42,$99.99^{(\star)}$
,10,$9.90 \times 10^{-3}$,$2.03 \times 10^{-6}$,3.25,$1.15 \times 10^{3}$,99.70,$99.99^{(\star)}$
0.02,1,$2.64 \times 10^{2}$,$2.62 \times 10^{2}$,$7.54 \times 10^{2}$,$7.63 \times 10^{1}$,65.01,65.24
,2,$3.34 \times 10^{1}$,$3.31 \times 10^{1}$,$7.54 \times 10^{2}$,$1.60 \times 10^{2}$,95.57,95.61
,3,9.24,9.11,$7.54 \times 10^{2}$,$2.68 \times 10^{2}$,98.77,98.79
,4,2.78,2.74,$7.54 \times 10^{2}$,$4.02 \times 10^{2}$,99.63,99.64
,5,$8.69 \times 10^{-1}$,$8.52 \times 10^{-1}$,$7.54 \times 10^{2}$,$7.29 \times 10^{2}$,99.88,99.89
,6,$2.87 \times 10^{-1}$,$2.71 \times 10^{-1}$,$7.54 \times 10^{2}$,$1.20 \times 10^{3}$,99.96,99.96
,7,$1.45 \times 10^{-1}$,$8.80 \times 10^{-2}$,$7.54 \times 10^{2}$,$5.99 \times 10^{2}$,99.98,99.99
,8,$6.48 \times 10^{-2}$,$2.92 \times 10^{-2}$,$7.54 \times 10^{2}$,$5.34 \times 10^{2}$,$99.99^{(\star)}$,$99.99^{(\star)}$
,9,$7.37 \times 10^{-2}$,$9.96 \times 10^{-3}$,$7.54 \times 10^{2}$,$9.48 \times 10^{2}$,$99.99^{(\star)}$,$99.99^{(\star)}$
,10,$6.07 \times 10^{-2}$,$3.52 \times 10^{-3}$,$7.54 \times 10^{2}$,$1.18 \times 10^{3}$,$99.99^{(\star)}$,$99.99^{(\star)}$
